"Provider.State","DRG.Definition","Discharges","Total.Payments","Medicare.Payments","Covered.Charges","Total.Payments.quantile","Medicare.Payments.quantile","Covered.Charges.quantile"
"AL","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",879,5857.17058020478,4723.05530147895,29855.3439590444,4,4,6
"AK","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",23,8401.95,6413.78,34805.13,6,6,7
"AZ","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",606,7034.47841584158,5710.10122112211,33581.3118481848,5,5,7
"AR","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",652,5932.60765337423,4731.9348006135,24697.356809816,4,4,5
"CA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1715,8251.96536443149,6826.54555102041,54275.0891195335,6,6,9
"CO","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",255,6911.50952941176,5326.46219607843,33554.1569803922,5,5,7
"CT","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",384,8144.00713541667,6783.50942708333,20990.800703125,6,6,5
"DE","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",144,7341.515,5871.87777777778,21781.1520833333,6,5,5
"DC","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",47,9241.59085106383,7835.99531914894,44919.3785106383,7,7,8
"FL","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",2847,6145.54615033368,4782.03254302775,38464.4481383913,4,4,8
"GA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1015,6384.62820689655,5064.2197635468,25590.0664433498,5,4,6
"HI","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",24,10982.04,6846.87,27809.95,8,6,6
"ID","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",113,6457.23557522124,5303.28769911504,18150.9684955752,5,5,4
"IL","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1240,7206.49716935484,5365.42299193548,32784.1149596774,6,5,7
"IN","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1078,6597.54078849722,5109.20312615955,26888.4312337662,5,4,6
"IA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",518,6127.60936293436,5003.4795945946,22329.8787065637,4,4,5
"KS","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",594,5879.70983164983,4739.39523569024,21765.3048148148,4,4,5
"KY","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",728,6347.60458791209,5093.05193681319,22308.0603434066,5,4,5
"LA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",743,6361.86074024226,4774.41410497981,31186.6455720054,5,4,7
"ME","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",205,7104.24443902439,5605.58287804878,14048.1053170732,5,5,2
"MD","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",706,8408.52090651558,7294.68179886686,8908.98854107649,6,6,1
"MA","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",732,8585.8499726776,7062.42654371585,24744.5882103825,7,6,5
"MI","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1325,7151.64943396226,5890.7002490566,21635.0946792453,5,5,5
"MN","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",445,7485.42734831461,5887.6535505618,24449.3235280899,6,5,5
"MS","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",588,6180.78831632653,4939.77681972789,23595.9360034014,4,4,5
"MO","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",1030,6086.77141747573,4923.84958252427,24273.8753883495,4,4,5
"MT","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",174,6421.49137931035,5377.40367816092,18649.9543678161,5,5,4
"NE","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",318,6373.15606918239,5111.91506289308,17836.8699056604,5,4,4
"NV","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",311,7095.18324758842,5589.24041800643,42325.0150160772,5,5,8
"NH","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",216,7159.77212962963,5757.10768518518,23541.2296759259,5,5,5
"NJ","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",819,7362.54554334554,6215.22934065934,34441.388998779,6,6,7
"NM","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",128,6129.28625,5169.91640625,31715.581796875,4,4,7
